,,,,,Population,,Growth,Land area[5],
City,Type[3],County[4],Electrical Rate ,Rate Per KWhr,2019 estimate[6],2010 Census[5],2010-2019,sq mi,km2
Oroville,Code,Okanogan,6.51¢/kWh,,"1,675","1,686",-0.65%,1.64,4.2
Sumas,Code,Whatcom,6.4¢/kWh.,,"1,534","1,307",17.37%,1.48,3.8
Morton,Code,Lewis,6.34¢/kWh,,"1,199","1,126",6.48%,0.82,2.1
Mossyrock,Code,Lewis,6.34¢/kWh,,820,759,8.04%,0.68,1.8
Vader,Code,Lewis,6.34¢/kWh,,670,621,7.89%,0.93,2.4
Cheney,Code,Spokane,6.19¢/kWh,,"12,522","10,590",18.24%,4.35,11.3
Newport,Code,Pend Oreille,6.12¢/kWh.,,"2,199","2,126",3.43%,1.35,3.5
Spokane,First,Spokane,5.71¢/kWh,,"222,081","208,916",6.30%,68.73,178
Ephrata,Code,Grant,4.85¢/kWh.,,"8,136","7,664",6.16%,10.09,26.1
Quincy,Code,Grant,4.85¢/kWh.,,"8,033","6,750",19.01%,4.98,12.9
Soap Lake,Code,Grant,4.85¢/kWh.,,"1,603","1,514",5.88%,1.3,3.4
George,Code,Grant,4.85¢/kWh,,516,501,2.99%,1.33,3.4
Mattawa,Code,Grant,4.85¢/kWh,,"4,758","4,437",7.23%,0.74,1.9
Royal City,Code,Grant,4.85¢/kWh,,"2,237","2,140",4.53%,1.35,3.5
Warden,Code,Grant,4.85¢/kWh,,"2,812","2,692",4.46%,2.66,6.9
Entiat,Code,Chelan,3.22¢/kWh.,,"1,280","1,112",15.11%,2.11,5.5
Chelan,Code,Chelan,3.22¢/kWh,,"4,237","3,890",8.92%,6.36,16.5
Leavenworth,Code,Chelan,3.22¢/kWh,,"2,029","1,965",3.26%,1.23,3.2
East Wenatchee,Code,Douglas,2.64¢/kWh,,"14,219","13,190",7.80%,3.8,9.8
Rock Island,Code,Douglas,2.64¢/kWh,,"1,124",788,42.64%,0.62,1.6
Algona,Code,King,10.36¢/kWh.,10.36,"3,208","3,014",6.44%,1.3,3.4
Anacortes,Code,Skagit,10.36¢/kWh.,,"17,527","15,778",11.09%,11.76,30.5
Bainbridge Island,Code,Kitsap,10.36¢/kWh.,,"25,298","23,025",9.87%,27.61,71.5
Black Diamond,Code,King,10.36¢/kWh.,,"4,781","4,151",15.18%,6.56,17
Enumclaw,Code,King,10.36¢/kWh.,,"12,190","10,669",14.26%,5.16,13.4
Fife,Code,Pierce,10.36¢/kWh.,,"10,184","9,173",11.02%,5.69,14.7
Lacey,Code,Thurston,10.36¢/kWh.,,"52,592","42,393",24.06%,16.06,41.6
Newcastle,Code,King,10.36¢/kWh.,,"12,292","10,380",18.42%,4.45,11.5
Oak Harbor,Code,Island,10.36¢/kWh.,,"23,565","22,075",6.75%,9.65,25
Sammamish,Code,King,10.36¢/kWh.,,"65,892","45,780",43.93%,18.41,47.7
SeaTac,Code,King,10.36¢/kWh.,,"29,044","26,909",7.93%,10.03,26
Shoreline,Code,King,10.36¢/kWh.,,"57,027","53,007",7.58%,11.67,30.2
Sumner,Code,Pierce,10.36¢/kWh.,,"10,427","9,451",10.33%,7.51,19.5
Toledo,Code,Lewis,10.36¢/kWh.,,771,725,6.34%,0.4,1
Woodinville,Code,King,10.36¢/kWh.,,"13,263","10,938",21.26%,5.6,14.5
Auburn,Code,King,10.36¢/kWh,,"81,464","70,180",16.08%,29.62,76.7
Bellevue,Code,King,10.36¢/kWh,,"148,164","122,363",21.09%,33.48,86.7
Bellingham,First,Whatcom,10.36¢/kWh,,"92,314","80,885",14.13%,27.07,70.1
Bonney Lake,Code,Pierce,10.36¢/kWh,,"21,148","17,374",21.72%,7.94,20.6
Bothell,Code,King,10.36¢/kWh,,"47,415","33,505",41.52%,12.1,31.3
Bremerton,First,Kitsap,10.36¢/kWh,,"41,405","37,729",9.74%,28.42,73.6
Buckley,Code,Pierce,10.36¢/kWh,,"5,058","4,354",16.17%,3.87,10
Burien,Code,King,10.36¢/kWh,,"51,500","33,313",54.59%,10.06,26.1
Burlington,Code,Skagit,10.36¢/kWh,,"9,224","8,388",9.97%,4.25,11
Carnation,Code,King,10.36¢/kWh,,"2,282","1,786",27.77%,1.16,3
Chehalis,Code,Lewis,10.36¢/kWh,,"7,654","7,259",5.44%,5.53,14.3
Des Moines,Code,King,10.36¢/kWh,,"32,348","29,673",9.01%,6.5,16.8
Duvall,Code,King,10.36¢/kWh,,"8,107","6,695",21.09%,2.45,6.3
Everson,Code,Whatcom,10.36¢/kWh,,"2,841","2,481",14.51%,1.31,3.4
Federal Way,Code,King,10.36¢/kWh,,"96,289","89,306",7.82%,22.27,57.7
Ferndale,Code,Whatcom,10.36¢/kWh,,"14,897","11,415",30.50%,7.03,18.2
Kenmore,Code,King,10.36¢/kWh,,"23,097","20,460",12.89%,6.17,16
Kent,Code,King,10.36¢/kWh,,"132,319","92,411",43.19%,33.76,87.4
Kirkland,Code,King,10.36¢/kWh,,"93,010","48,787",90.65%,17.82,46.2
Lake Forest Park,Code,King,10.36¢/kWh,,"13,504","12,598",7.19%,3.53,9.1
Lynden,Code,Whatcom,10.36¢/kWh,,"15,223","11,951",27.38%,5.26,13.6
Maple Valley,Code,King,10.36¢/kWh,,"27,202","22,684",19.92%,5.73,14.8
Mercer Island,Code,King,10.36¢/kWh,,"25,894","22,699",14.08%,6.32,16.4
Mount Vernon,Code,Skagit,10.36¢/kWh,,"36,006","31,743",13.43%,12.24,31.7
Napavine,Code,Lewis,10.36¢/kWh,,"2,001","1,766",13.31%,2.38,6.2
Nooksack,Code,Whatcom,10.36¢/kWh,,"1,631","1,338",21.90%,0.71,1.8
Normandy Park,Code,King,10.36¢/kWh,,"6,604","6,335",4.25%,2.52,6.5
North Bend,Code,King,10.36¢/kWh,,"7,423","5,731",29.52%,4.37,11.3
Orting,Code,Pierce,10.36¢/kWh,,"8,610","6,746",27.63%,2.73,7.1
Pacific,Code,King,10.36¢/kWh,,"7,178","6,606",8.66%,2.41,6.2
Port Orchard,Second,Kitsap,10.36¢/kWh,,"14,597","11,144",30.99%,9.68,25.1
Port Townsend,Code,Jefferson,10.36¢/kWh,,"9,831","9,113",7.88%,6.98,18.1
Poulsbo,Code,Kitsap,10.36¢/kWh,,"11,168","9,200",21.39%,4.74,12.3
Puyallup,Code,Pierce,10.36¢/kWh,,"42,361","37,022",14.42%,14.11,36.5
Rainier,Code,Thurston,10.36¢/kWh,,"2,287","1,794",27.48%,1.73,4.5
Redmond,Code,King,10.36¢/kWh,,"71,929","54,144",32.85%,16.47,42.7
Renton,Code,King,10.36¢/kWh,,"101,751","90,927",11.90%,23.37,60.5
Sedro-Woolley,Code,Skagit,10.36¢/kWh,,"12,072","10,540",14.54%,3.93,10.2
Snoqualmie,Code,King,10.36¢/kWh,,"13,622","10,670",27.67%,7.22,18.7
Tenino,Code,Thurston,10.36¢/kWh,,"1,865","1,695",10.03%,1.44,3.7
Tukwila,Code,King,10.36¢/kWh,,"20,347","19,107",6.49%,9.17,23.8
Tumwater,Code,Thurston,10.36¢/kWh,,"24,024","17,371",38.30%,14.32,37.1
Yelm,Code,Thurston,10.36¢/kWh,,"9,456","6,848",38.08%,5.68,14.7
Cle Elum,Code,Kittitas,10.05¢/kWh,,"2,037","1,872",8.81%,3.82,9.9
Kittitas,Code,Kittitas,10.05¢/kWh,,"1,497","1,381",8.40%,0.73,1.9
Roslyn,Code,Kittitas,10.05¢/kWh,,958,893,7.28%,4.37,11.3
Langley,Code,Island,0¢/kWh,,"1,140","1,035",10.14%,1.08,2.8
Ridgefield,Code,Clark, 9.18¢/kWh,,"9,153","4,763",92.17%,7.08,18.3
White Salmon,Code,Klickitat, 8.73¢/kWh,,"2,691","2,224",21%,1.24,3.2
Sunnyside,Code,Yakima, 8.23¢/kWh,,"16,796","15,858",5.91%,6.63,17.2
Walla Walla,Code,Walla Walla, 8.23¢/kWh,,"32,900","31,731",3.68%,12.8,33.2
Spangle,Code,Spokane, 7.98¢/kWh,7.98,319,278,14.75%,0.36,0.93
Spokane Valley,Code,Spokane, 7.98¢/kWh,7.98,"101,060","89,755",12.60%,37.71,97.7
Seattle,First,King, 7.75¢/kWh,7.75,"753,675","608,660",23.83%,83.84,217.1
Ruston,Code,Pierce, 7.5¢/kWh.,7.5,845,749,12.82%,0.26,0.67
Electric City,Code,Grant, 7.44¢/kWh,7.44,"1,002",968,3.51%,1.98,5.1
Lakewood,Code,Pierce, 7.26¢/kWh,7.26,"61,037","58,163",4.94%,17.18,44.5
Port Angeles,Code,Clallam, 7.21¢/kWh,7.21,"20,229","19,038",6.26%,10.7,27.7
Okanogan,Code,Okanogan, 6.51¢/kWh.,6.51,"2,588","2,552",1.41%,1.99,5.2
Tonasket,Code,Okanogan, 6.51¢/kWh,6.51,"1,121","1,032",8.62%,0.8,2.1
Millwood,Code,Spokane, 6.27¢/kWh,6.27,"1,800","1,786",0.78%,0.7,1.8
Moses Lake,Code,Grant, 4.85¢/kWh.,4.85,"24,086","20,366",18.27%,17.84,46.2
Olympia,Code,Thurston, 10.36¢/kWh.[,10.36,"52,882","46,478",13.78%,17.82,46.2
Issaquah,Code,King, 10.36¢/kWh,10.36,"39,509","30,434",29.82%,11.41,29.6
Medina,Code,King, 10.36¢/kWh,10.36,"3,288","2,969",10.74%,1.45,3.8
Yakima,First,Yakima, 8.23¢/kWh.,,"93,637","91,067",2.82%,27.63,71.6
Long Beach,Code,Pacific, 7.73¢/kWh,,"1,496","1,392",7.47%,1.35,3.5
Prosser,Code,Benton, 7.59¢/kWh,7.59,"6,380","5,714",11.66%,4.55,11.8
Stevenson,Code,Skamania, 7.37¢/kWh,,"1,601","1,465",9.28%,1.65,4.3
Woodland,Code,Cowlitz, 7.29¢/kWh,,"6,495","5,509",17.90%,4.05,10.5
Brewster,Code,Okanogan, 6.51¢/kWh,,"2,357","2,370",-0.55%,1.19,3.1
Cashmere,Code,Chelan, 3.22¢/kWh,,"3,172","3,063",3.56%,1.11,2.9
Wenatchee,Code,Chelan, 3.22¢/kWh,,"34,360","31,925",7.63%,7.86,20.4
Bridgeport,Code,Douglas, 2.64¢/kWh.,,"2,613","2,409",8.47%,1.05,2.7
Clyde Hill,Code,King, 10.36¢/kWh,,"3,386","2,984",13.47%,1.06,2.7
Covington,Code,King, 10.36¢/kWh,,"21,175","17,575",20.48%,5.81,15
DuPont,Code,Pierce, 10.36¢/kWh,,"9,516","8,199",16.06%,5.86,15.2
Winlock,Code,Lewis, 10.36¢/kWh,,"1,428","1,339",6.65%,1.29,3.3
