Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,Town Nissan,East Wenatchee,WA,98802,Public - Call ahead,,1,1,,,Newport,1
ELEC,MAIN HOSPITAL SILVER PARKING,Kirkland,WA,98034,Public,,2,,,,North Bend,3
ELEC,MAIN HOSPITAL DEYOUNG1,Kirkland,WA,98034,Public,,2,,,,Oak Harbor,3
ELEC,MAIN HOSPITAL BLUE PARKING,Kirkland,WA,98034,Public,,2,,,,Ocean Shores,2
ELEC,Leskovar Mitsubishi,Kennewick,WA,99336,Public - Call ahead,,2,,,,Olga,1
ELEC,BMW SEATTLE BMW SALES,Seattle,WA,98134,Public,,2,,,,Olympia,31
ELEC,HARBOUR POINT HBP STATION A,Mukilteo,WA,98275,Public,,2,,,,Omak,1
ELEC,Mellisoni Vineyard,Chelan,WA,98816,Public,,1,,,,Orcas,1
ELEC,Sound Ford,Renton,WA,98057,Public - Call ahead,,1,,,,Oroville,2
ELEC,1551 EASTLAKE A ARE 1551 #1,Seattle,WA,98102,Public,,2,,,,Pasco,3
ELEC,901 FIFTH F LEVEL,Seattle,WA,98164,Public,,2,,,,Pateros,1
ELEC,1616 EASTLAKE ARE 1616 #1,Seattle,WA,98102,Public,,2,,,,Port Angeles,11
ELEC,Snoqualmie Casino,Issaquah,WA,98065,Public,,12,,,,Port Orchard,3
ELEC,EDMONDSNISSAN #1 (SOUTH),Edmonds,WA,98020,Public,,,1,,,Port Townsend,6
ELEC,Wenatchee - Wenatchee Convention Center,Wenatchee,WA,98801,Public,,1,1,,,Poulsbo,6
ELEC,I-5 Gee Creek NB Rest Area,Ridgefield,WA,98642,Public,,1,,,,Prosser,2
ELEC,Centralia - Wendy's,Centralia,WA,98531,Public,,1,1,,,Pullman,7
ELEC,Bellingham - Sehome Village,Bellingham,WA,98325,Public,,1,1,,,Puyallup,13
ELEC,Castle Rock - Cascade Select Market,Castle Rock,WA,98611,Public,,1,1,,,Quinault,1
ELEC,Burlington - The Outlet Shoppes,Burlington,WA,98233,Public,,1,1,,,Quincy,2
ELEC,Ridgefield - Country Café,Ridgefield,WA,98642,Public,,1,1,,,Redmond,28
ELEC,I-5 Custer SB Rest Area,Custer,WA,98240,Public,,2,,,,Renton,39
ELEC,Skykomish - Sky Deli,Skykomish,WA,98288,Public,,1,1,,,Republic,1
ELEC,I-5 Gee Creek NB Rest Area,Ridgefield,WA,98642,Public,,1,,,,Richland,6
ELEC,525 NORTHGATE RETAIL #1,Seattle,WA,98125,Public,,2,,,,Ridgefield,17
ELEC,Power Trip Energy Corp,Port Townsend,WA,98368,Public,,2,,,,Ritzville,3
ELEC,John L Scott Real Estate,Port Townsend,WA,98368,Public - Call ahead,,1,,,,Roche Harbor,1
ELEC,GreenPod Development,Port Townsend,WA,98368,Public,,2,,,,Rochester,1
ELEC,Windermere Real Estate,Port Townsend,WA,98368,Public - Call ahead,,1,,,,Rockport,1
ELEC,HAMPTON INN WEST BACK,Bellevue,WA,98004,Public,,2,,,,Rosalia,1
ELEC,SIA GARAGE F1,Spokane,WA,99224,Public,,2,,,,Sammamish,8
ELEC,MAIN HOSPITAL SILVER #2,Kirkland,WA,98034,Public,,2,,,,Sea Tac,1
ELEC,WINSLOW WAY WINSLOW #1,Bainbridge Island,WA,98110,Public,,2,,,,SeaTac,11
ELEC,The Co-Op Farm and Garden,Sequim,WA,98382,Public,,1,,,,Seattle,330
ELEC,VISITOR GARAGE PEDESTAL UNIT,Tacoma,WA,98402,Public,,1,,,,Seaview,1
ELEC,HOMEWOOD SUITES HOMEWOOD #1,Issaquah,WA,98027,Public,,2,,,,Sequim,6
ELEC,Banks Lake Brew and Bistro,Coulee City,WA,99115,Public,,1,,,,Shelton,2
